numDisparities,blockSize,P1,P2,valid_ratio,std,score
64,3,72,288,0.45238932291666667,21.656221389770508,-0.6304217465718587
64,5,200,800,0.4865950520833333,21.69162368774414,-0.5979861323038738
64,7,392,1568,0.5268391927083333,21.695987701416016,-0.5579601923624675
64,9,648,2592,0.5558072916666666,21.613571166992188,-0.5248712666829428
64,11,968,3872,0.5858170572916667,21.543277740478516,-0.49134682973225907
64,13,1352,5408,0.6171614583333334,21.438016891479492,-0.45473938624064125
80,3,72,288,0.43707682291666666,23.34896469116211,-0.7303714116414388
80,5,200,800,0.472275390625,23.31489372253418,-0.6934692955017091
80,7,392,1568,0.5125618489583333,23.162883758544922,-0.6455823389689127
80,9,648,2592,0.5455110677083334,23.116031646728516,-0.6102905146280925
80,11,968,3872,0.5742252604166667,22.866741180419922,-0.5691117986043295
80,13,1352,5408,0.5962532552083334,22.764829635620117,-0.5419882265726724
96,3,72,288,0.419765625,23.995014190673828,-0.7799850845336915
96,5,200,800,0.4519401041666667,24.141769409179688,-0.7551483662923177
96,7,392,1568,0.49421875,24.20652198791504,-0.7161073493957522
96,9,648,2592,0.5269205729166667,24.15678596496582,-0.6809187253316243
96,11,968,3872,0.5544856770833333,24.013731002807617,-0.6462008730570477
96,13,1352,5408,0.5792513020833333,24.10439682006836,-0.6259685389200847
112,3,72,288,0.39403645833333334,24.11492919921875,-0.8117100016276042
112,5,200,800,0.42140625,24.591876983642578,-0.808187599182129
112,7,392,1568,0.46081705729166667,24.92486572265625,-0.7854262288411459
112,9,648,2592,0.492392578125,24.88376235961914,-0.751795539855957
112,11,968,3872,0.5185481770833333,25.123910903930664,-0.7376473681131999
112,13,1352,5408,0.5470345052083333,25.022727966308594,-0.7041018931070965
128,3,72,288,0.38181640625,24.258737564086914,-0.8311204719543457
128,5,200,800,0.40865885416666664,24.925357818603516,-0.8376090367635092
128,7,392,1568,0.44847005208333335,25.543025970458984,-0.828681246439616
128,9,648,2592,0.4787825520833333,25.408649444580078,-0.7916499201456706
128,11,968,3872,0.50228515625,25.58099365234375,-0.7767645263671875
128,13,1352,5408,0.52775390625,25.354839324951172,-0.7399880599975587
144,3,72,288,0.37078450520833334,24.588146209716797,-0.8586228052775065
144,5,200,800,0.4007649739583333,25.72300910949707,-0.8853854815165202
144,7,392,1568,0.4499967447916667,25.3333797454834,-0.8166722424825035
144,9,648,2592,0.4783854166666667,25.42023468017578,-0.7926263173421225
144,11,968,3872,0.501064453125,25.96329689025879,-0.7971003913879394
144,13,1352,5408,0.525634765625,26.015649795532227,-0.7751477241516114
160,3,72,288,0.372177734375,25.599987030029297,-0.9078216171264649
160,5,200,800,0.4071875,26.424806594848633,-0.9140528297424317
160,7,392,1568,0.444462890625,27.549936294555664,-0.9330339241027833
160,9,648,2592,0.46949869791666665,27.025997161865234,-0.8818011601765952
160,11,968,3872,0.49321940104166667,27.6984806060791,-0.8917046292622886
160,13,1352,5408,0.517626953125,28.163354873657227,-0.8905407905578615
176,3,72,288,0.36325520833333336,26.327085494995117,-0.9530990664164225
176,5,200,800,0.39748046875,28.023616790771484,-1.0037003707885743
176,7,392,1568,0.43193359375,28.412717819213867,-0.9887022972106936
176,9,648,2592,0.4482291666666667,29.3731689453125,-1.0204292805989583
176,11,968,3872,0.4735286458333333,30.383323669433594,-1.0456375376383464
176,13,1352,5408,0.4940494791666667,29.861454010009766,-0.9990232213338217
192,3,72,288,0.3576302083333333,27.697418212890625,-1.027240702311198
192,5,200,800,0.38883138020833335,28.70473861694336,-1.0464055506388346
192,7,392,1568,0.419169921875,28.80184555053711,-1.0209223556518556
192,9,648,2592,0.43755208333333334,30.05533218383789,-1.0652145258585612
192,11,968,3872,0.45636067708333333,31.139419555664062,-1.10061030069987
192,13,1352,5408,0.476806640625,31.38741111755371,-1.0925639152526856
208,3,72,288,0.34921875,26.235219955444336,-0.9625422477722169
208,5,200,800,0.3794140625,28.565330505371094,-1.0488524627685547
208,7,392,1568,0.40744140625,29.62646484375,-1.0738818359375
208,9,648,2592,0.425751953125,30.039852142333984,-1.0762406539916993
208,11,968,3872,0.4486848958333333,31.45400047302246,-1.1240151278177897
208,13,1352,5408,0.468837890625,31.726661682128906,-1.1174951934814454
224,3,72,288,0.33521484375,26.792524337768555,-1.0044113731384279
224,5,200,800,0.3681412760416667,28.48463249206543,-1.0560903485616049
224,7,392,1568,0.39724609375,29.444290161132812,-1.0749684143066407
224,9,648,2592,0.41400716145833333,29.448226928710938,-1.0584041849772137
224,11,968,3872,0.42604166666666665,31.75372314453125,-1.161644490559896
224,13,1352,5408,0.44382161458333336,32.40116500854492,-1.176236635843913
240,3,72,288,0.317099609375,26.813791275024414,-1.0235899543762208
240,5,200,800,0.34982747395833336,30.35300064086914,-1.1678225580851238
240,7,392,1568,0.37713216145833334,32.1878662109375,-1.2322611490885418
240,9,648,2592,0.3965787760416667,32.758060455322266,-1.2413242467244467
240,11,968,3872,0.41396484375,33.34979248046875,-1.2535247802734375
240,13,1352,5408,0.43365885416666666,33.12054443359375,-1.222368367513021
256,3,72,288,0.31650716145833335,26.865402221679688,-1.0267629496256512
256,5,200,800,0.33571940104166664,27.858184814453125,-1.0571898396809898
256,7,392,1568,0.36124348958333335,30.51384162902832,-1.1644485918680827
256,9,648,2592,0.385517578125,31.856708526611328,-1.2073178482055664
256,11,968,3872,0.4049837239583333,33.10383605957031,-1.2502080790201824
256,13,1352,5408,0.43090169270833334,29.483291625976562,-1.0432628885904949
272,3,72,288,0.3062825520833333,27.097700119018555,-1.0486024538675944
272,5,200,800,0.33538411458333334,27.896780014038086,-1.059454886118571
272,7,392,1568,0.36509765625,32.3416862487793,-1.251986656188965
272,9,648,2592,0.38470377604166667,33.03581237792969,-1.2670868428548177
272,11,968,3872,0.404130859375,33.08671569824219,-1.2502049255371095
272,13,1352,5408,0.40840494791666665,34.2775764465332,-1.3054738744099936
288,3,72,288,0.28862955729166667,29.26506233215332,-1.1746235593159995
288,5,200,800,0.3179524739583333,31.738361358642578,-1.2689655939737958
288,7,392,1568,0.345791015625,36.02614212036133,-1.4555160903930666
288,9,648,2592,0.37132161458333335,35.72419357299805,-1.414888064066569
288,11,968,3872,0.388984375,36.14078903198242,-1.4180550765991213
288,13,1352,5408,0.4023046875,37.25420379638672,-1.460405502319336
304,3,72,288,0.2821126302083333,28.08174705505371,-1.1219747225443522
304,5,200,800,0.313623046875,29.17628288269043,-1.1451910972595214
304,7,392,1568,0.336396484375,34.03996658325195,-1.3656018447875977
304,9,648,2592,0.3584342447916667,34.550201416015625,-1.3690758260091147
304,11,968,3872,0.37656575520833335,36.66023635864258,-1.4564460627237956
304,13,1352,5408,0.3885774739583333,39.61973190307617,-1.5924091211954754
320,3,72,288,0.248671875,31.589454650878906,-1.3308008575439456
320,5,200,800,0.27635091145833335,35.713279724121094,-1.5093130747477215
320,7,392,1568,0.2967708333333333,35.91949462890625,-1.499203898111979
320,9,648,2592,0.31581705729166665,34.308746337890625,-1.3996202596028646
320,11,968,3872,0.331474609375,38.357177734375,-1.58638427734375
320,13,1352,5408,0.3441438802083333,39.71176528930664,-1.641444384256999
